,Asylum,Year,Total
0,Algeria,2010,94044
1,Algeria,2011,94085
2,Algeria,2012,94370
3,Algeria,2013,95322
4,Algeria,2014,98571
5,Algeria,2015,100427
6,Algeria,2016,99586
7,Algeria,2017,100143
8,Algeria,2018,101939
9,Algeria,2019,98239
10,Algeria,2020,97129
11,Algeria,2021,97167
12,Algeria,2022,97938
13,Egypt,2010,77244
14,Egypt,2011,77879
15,Egypt,2012,90070
16,Egypt,2013,209170
17,Egypt,2014,215727
18,Egypt,2015,196256
19,Egypt,2016,196193
20,Egypt,2017,207973
21,Egypt,2018,218241
22,Egypt,2019,215203
23,Egypt,2020,216722
24,Egypt,2021,223502
25,Egypt,2022,231321
26,Iraq,2010,12025
27,Iraq,2011,13275
28,Iraq,2012,76268
29,Iraq,2013,224092
30,Iraq,2014,244865
31,Iraq,2015,254099
32,Iraq,2016,241515
33,Iraq,2017,255373
34,Iraq,2018,260978
35,Iraq,2019,254202
36,Iraq,2020,250610
37,Iraq,2021,263835
38,Iraq,2022,272176
39,Israel,2010,14
40,Israel,2014,9
41,Israel,2015,9
42,Israel,2016,20
43,Israel,2017,22
44,Israel,2018,22
45,Israel,2019,22
46,Israel,2020,10
47,Israel,2021,10
48,Israel,2022,10
49,Jordan,2010,451995
50,Jordan,2011,454695
51,Jordan,2012,304186
52,Jordan,2013,643555
53,Jordan,2014,668468
54,Jordan,2015,684732
55,Jordan,2016,716146
56,Jordan,2017,729423
57,Jordan,2018,761394
58,Jordan,2019,739799
59,Jordan,2020,745912
60,Jordan,2021,754043
61,Jordan,2022,756489
62,Lebanon,2010,8602
63,Lebanon,2011,14682
64,Lebanon,2012,134856
65,Lebanon,2013,861314
66,Lebanon,2014,1164966
67,Lebanon,2015,1085105
68,Lebanon,2016,1028572
69,Lebanon,2017,1015901
70,Lebanon,2018,966712
71,Lebanon,2019,932603
72,Lebanon,2020,884557
73,Lebanon,2021,865015
74,Lebanon,2022,858407
75,Libya,2010,6170
76,Libya,2011,5972
77,Libya,2012,10022
78,Libya,2013,24695
79,Libya,2014,27121
80,Libya,2015,27169
81,Libya,2016,28525
82,Libya,2017,32278
83,Libya,2018,32959
84,Libya,2019,23421
85,Libya,2020,19381
86,Libya,2021,15804
87,Libya,2022,15447
88,Morocco,2010,208
89,Morocco,2011,210
90,Morocco,2012,1066
91,Morocco,2013,1038
92,Morocco,2014,823
93,Morocco,2015,3315
94,Morocco,2016,4051
95,Morocco,2017,3801
96,Morocco,2018,4678
97,Morocco,2019,4954
98,Morocco,2020,6013
99,Morocco,2021,6748
100,Morocco,2022,7026
101,Saudi Arabia,2010,137
102,Saudi Arabia,2011,144
103,Saudi Arabia,2012,146
104,Saudi Arabia,2013,128
105,Saudi Arabia,2014,132
106,Saudi Arabia,2015,77
107,Saudi Arabia,2016,101
108,Saudi Arabia,2017,137
109,Saudi Arabia,2018,2323
110,Saudi Arabia,2019,2533
111,Saudi Arabia,2020,9119
112,Saudi Arabia,2021,11846
113,Saudi Arabia,2022,12770
114,Syria,2010,1001051
115,Syria,2011,751409
116,Syria,2012,472740
117,Syria,2013,147654
118,Syria,2014,151268
119,Syria,2015,25952
120,Syria,2016,42085
121,Syria,2017,45668
122,Syria,2018,42348
123,Syria,2019,56416
124,Syria,2020,52045
125,Syria,2021,49727
126,Syria,2022,47032
127,Tunisia,2010,48
128,Tunisia,2011,1459
129,Tunisia,2012,255
130,Tunisia,2013,295
131,Tunisia,2014,650
132,Tunisia,2015,581
133,Tunisia,2016,588
134,Tunisia,2017,675
135,Tunisia,2018,1057
136,Tunisia,2019,1572
137,Tunisia,2020,2376
138,Tunisia,2021,2962
139,Tunisia,2022,3111
140,Yemen,2010,5341
141,Yemen,2011,4750
142,Yemen,2012,4280
143,Yemen,2013,5947
144,Yemen,2014,7486
145,Yemen,2015,7859
146,Yemen,2016,8001
147,Yemen,2017,7992
148,Yemen,2018,8125
149,Yemen,2019,8347
150,Yemen,2020,8415
151,Yemen,2021,7110
152,Yemen,2022,7163
