,Country of origin,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Algeria,77,68,68,77,88,81,72,64,73,68,86,83,81
1,Egypt,223,373,414,469,634,710,858,1066,1278,1294,1309,1412,1530
2,Iraq,1476993,1229138,560054,226852,222566,111785,140241,146973,144723,151337,144594,139753,135543
3,Jordan,131,130,157,275,290,289,305,229,1588,2150,1045,1084,1441
4,Lebanon,33,37,84,114,223,255,282,184,219,5221,4980,11952,14789
5,Libya,26,1150,87,73,168,263,308,325,377,402,542,568,549
6,Morocco,15,23,21,51,36,50,34,44,53,54,53,73,66
7,Palestine,88840,89102,89526,93221,93107,92161,91093,91767,91305,85219,84440,83042,82849
8,Saudi Arabia,10,23,31,34,48,45,81,65,76,104,93,75,74
9,Syria,2108,10152,449262,1803405,2174313,2087613,2036841,2058534,2056234,1986283,1949790,1955225,1966289
10,Tunisia,60,48,55,70,83,85,80,73,63,65,70,68,65
11,Yemen,400,599,703,689,909,5385,9330,15324,24584,25913,26418,26015,27201
